date,price,forecast_price
2015-10-23,2.558,
2015-10-24,2.562,
2015-10-25,2.543,
2015-10-26,2.511,
2015-10-27,2.537,
2015-10-28,2.553,
2015-10-29,2.485,
2015-10-30,2.485,
2015-10-31,2.513,
2015-11-01,2.454,
2015-11-02,2.429,
2015-11-03,2.558,
2015-11-04,2.577,
2015-11-05,2.734,
2015-11-06,2.763,
2015-11-07,2.813,
2015-11-08,2.773,
2015-11-09,2.704,
2015-11-10,2.639,
2015-11-11,2.639,
2015-11-12,2.627,
2015-11-13,2.653,
2015-11-14,2.669,
2015-11-15,2.76,
2015-11-16,2.708,
2015-11-17,2.706,
2015-11-18,2.711,
2015-11-19,2.8,
2015-11-20,2.779,
2015-11-21,2.773,
2015-11-22,2.798,
2015-11-23,2.832,
2015-11-24,2.812,
2015-11-25,2.841,
2015-11-26,2.572,
2015-11-27,2.619,
2015-11-28,2.605,
2015-11-29,2.467,
2015-11-30,2.477,
2015-12-01,2.512,
2015-12-02,2.817,
2015-12-03,2.835,
2015-12-04,2.81,
2015-12-05,2.875,
2015-12-06,2.91,
2015-12-07,2.924,
2015-12-08,2.887,
2015-12-09,2.979,
2015-12-10,3.183,
2015-12-11,3.273,
2015-12-12,3.127,
2015-12-13,3.102,
2015-12-14,3.052,
2015-12-15,3.108,
2015-12-16,2.98,
2015-12-17,2.874,
2015-12-18,2.815,
2015-12-19,2.838,
2015-12-20,2.783,
2015-12-21,2.747,
2015-12-22,2.66,
2015-12-23,2.483,
2015-12-24,2.438,
2015-12-25,2.634,
2015-12-26,2.68,
2015-12-27,2.649,
2015-12-28,2.705,
2015-12-29,2.61,
2015-12-30,2.545,
2015-12-31,2.594,
2016-01-01,2.557,
2016-01-02,2.538,
2016-01-03,2.453,
2016-01-04,2.399,
2016-01-05,2.62,
2016-01-06,2.618,
2016-01-07,2.725,
2016-01-08,2.757,
2016-01-09,2.817,
2016-01-10,2.866,
2016-01-11,2.752,
2016-01-12,2.742,
2016-01-13,2.792,
2016-01-14,2.786,
2016-01-15,2.761,
2016-01-16,2.8,
2016-01-17,2.759,
2016-01-18,2.798,
2016-01-19,2.777,
2016-01-20,2.686,
2016-01-21,2.754,
2016-01-22,2.78,
2016-01-23,2.767,
2016-01-24,2.71,
2016-01-25,2.676,
2016-01-26,2.809,
2016-01-27,2.817,
2016-01-28,2.839,
2016-01-29,2.781,
2016-01-30,2.73,
2016-01-31,2.729,
2016-02-01,2.726,
2016-02-02,2.742,
2016-02-03,2.726,
2016-02-04,2.684,
2016-02-05,2.794,
2016-02-06,2.566,
2016-02-07,2.351,
2016-02-08,2.377,
2016-02-09,2.412,
2016-02-10,2.366,
2016-02-11,2.315,
2016-02-12,2.432,
2016-02-13,2.667,
2016-02-14,2.569,
2016-02-15,2.592,
2016-02-16,2.572,
2016-02-17,2.589,
2016-02-18,2.393,
2016-02-19,2.571,
2016-02-20,2.541,
2016-02-21,2.456,
2016-02-22,2.456,
2016-02-23,2.601,
2016-02-24,2.626,
2016-02-25,2.535,
2016-02-26,2.439,
2016-02-27,2.465,
2016-02-28,2.471,
2016-02-29,2.372,
2016-03-01,2.407,
2016-03-02,2.508,
2016-03-03,2.594,
2016-03-04,2.517,
2016-03-05,2.496,
2016-03-06,2.444,
2016-03-07,2.478,
2016-03-08,2.465,
2016-03-09,2.517,
2016-03-10,2.617,
2016-03-11,2.528,
2016-03-12,2.763,
2016-03-13,2.771,
2016-03-14,2.674,
2016-03-15,2.663,
2016-03-16,2.771,
2016-03-17,2.74,
2016-03-18,2.655,
2016-03-19,2.804,
2016-03-20,2.68,
2016-03-21,2.717,
2016-03-22,2.794,
2016-03-23,2.739,
2016-03-24,2.696,
2016-03-25,2.654,
2016-03-26,2.651,
2016-03-27,2.613,
2016-03-28,2.571,
2016-03-29,2.609,
2016-03-30,2.753,
2016-03-31,2.885,
2016-04-01,3.056,
2016-04-02,3.11,
2016-04-03,2.869,
2016-04-04,2.842,
2016-04-05,3.043,
2016-04-06,3.076,
2016-04-07,3.065,
2016-04-08,3.192,
2016-04-09,3.307,
2016-04-10,3.298,
2016-04-11,3.143,
2016-04-12,3.269,
2016-04-13,3.209,
2016-04-14,3.155,
2016-04-15,3.244,
2016-04-16,3.215,
2016-04-17,3.098,
2016-04-18,3.148,
2016-04-19,3.228,
2016-04-20,3.324,
2016-04-21,3.18,
2016-04-22,3.24,
2016-04-23,3.161,
2016-04-24,3.108,
2016-04-25,3.092,
2016-04-26,3.101,
2016-04-27,3.328,
2016-04-28,3.33,
2016-04-29,3.724,
2016-04-30,3.788,
2016-05-01,3.548,
2016-05-02,3.48,
2016-05-03,3.486,
2016-05-04,3.544,
2016-05-05,3.421,
2016-05-06,3.421,
2016-05-07,3.37,
2016-05-08,3.387,
2016-05-09,3.458,
2016-05-10,3.495,
2016-05-11,3.417,
2016-05-12,3.299,
2016-05-13,3.312,
2016-05-14,3.438,
2016-05-15,3.365,
2016-05-16,3.357,
2016-05-17,3.235,
2016-05-18,3.315,
2016-05-19,3.261,
2016-05-20,3.192,
2016-05-21,3.185,
2016-05-22,3.096,
2016-05-23,4.366,
2016-05-24,3.087,
2016-05-25,3.08,
2016-05-26,3.03,
2016-05-27,3.001,
2016-05-28,3.149,
2016-05-29,3.111,
2016-05-30,3.106,
2016-05-31,3.156,
2016-06-01,3.149,
2016-06-02,3.147,
2016-06-03,3.115,
2016-06-04,3.083,
2016-06-05,2.97,
2016-06-06,2.814,
2016-06-07,2.911,
2016-06-08,3.102,
2016-06-09,2.972,
2016-06-10,3.013,
2016-06-11,2.952,
2016-06-12,2.946,
2016-06-13,2.805,
2016-06-14,2.912,
2016-06-15,2.962,
2016-06-16,2.979,
2016-06-17,3.302,
2016-06-18,3.505,
2016-06-19,3.674,
2016-06-20,3.861,
2016-06-21,3.724,
2016-06-22,3.323,
2016-06-23,3.183,
2016-06-24,2.944,
2016-06-25,2.814,
2016-06-26,2.897,
2016-06-27,2.866,
2016-06-28,2.771,
2016-06-29,2.64,
2016-06-30,2.621,
2016-07-01,2.643,
2016-07-02,2.589,
2016-07-03,2.488,
2016-07-04,2.418,
2016-07-05,2.891,
2016-07-06,2.963,
2016-07-07,3.075,
2016-07-08,3.087,
2016-07-09,3.12,
2016-07-10,2.888,
2016-07-11,2.825,
2016-07-12,3.131,
2016-07-13,3.192,
2016-07-14,2.867,
2016-07-15,2.727,
