date,peak_players,smoothed_peak_players
2023-05-01,1802853,1368663.857142857
2023-06-01,1665869,1445345.857142857
2023-07-01,1222913,1467893.5714285714
2023-08-01,1369511,1492154.5714285714
2023-09-01,1556326,1521022.857142857
2023-10-01,1364902,1498943.5714285714
2023-11-01,1161043,1449059.5714285714
2023-12-01,1248217,1369825.857142857
2024-01-01,1277907,1314402.7142857143
2024-02-01,1347519,1332203.5714285714
2024-03-01,1521796,1353958.5714285714
2024-04-01,1618685,1362867.0
2024-05-01,1614925,1398584.5714285714
2024-06-01,1510840,1448555.5714285714
2024-07-01,1342171,1461977.5714285714
2024-08-01,1425958,1483127.7142857143
2024-09-01,1473144,1501074.142857143
2024-09-15,1419515,1486462.5714285714
2024-09-16,1348169,1447817.4285714286
2024-09-17,1334645,1407777.4285714286
2024-09-18,1359657,1386179.857142857
2024-09-19,1371076,1390309.142857143
2024-09-20,1420049,1389465.0
2024-09-21,1473144,1389465.0
2024-09-22,1455541,1394611.5714285714
2024-09-23,1327897,1391715.5714285714
2024-09-24,1345134,1393214.0
2024-09-25,1337852,1390099.0
2024-09-26,1269659,1375610.857142857
2024-09-27,1349267,1365499.142857143
2024-09-28,1351900,1348178.5714285714
2024-09-29,1377556,1337037.857142857
2024-09-30,1282822,1330598.5714285714
2024-10-01,1181540,1307228.0
2024-10-02,1203757,1288071.5714285714
2024-10-03,1317481,1294903.2857142857
2024-10-04,1316149,1290172.142857143
2024-10-05,1356166,1290781.5714285714
2024-10-06,1449701,1301088.0
2024-10-07,1363872,1312666.5714285714
2024-10-08,1394652,1343111.142857143
2024-10-09,1387536,1369365.2857142857
2024-10-10,1327941,1370859.5714285714
2024-10-11,1359212,1377011.4285714286
2024-10-12,1484045,1395279.857142857
2024-10-13,1456433,1396241.5714285714
2024-10-14,1350044,1394266.142857143
2024-10-15,1340689,1386557.142857143
2024-10-16,1363774,1383162.5714285714
2024-10-17,1338261,1384636.857142857
2024-10-18,1381046,1387756.0
2024-10-19,1433218,1380495.0
2024-10-20,1442806,1378548.2857142857
2024-10-21,1355963,1379393.857142857
2024-10-22,1362014,1382440.2857142857
2024-10-23,1394521,1386832.7142857143
2024-10-24,1333709,1386182.4285714286
2024-10-25,1354444,1382382.142857143
2024-10-26,1362168,1372232.142857143
2024-10-27,1359073,1360270.2857142857
2024-10-28,1290730,1350951.2857142857
2024-10-29,1278907,1339078.857142857
2024-10-30,1288761,1323970.2857142857
2024-10-31,1282491,1316653.4285714286
2024-11-01,1304013,1309449.0
2024-11-02,1279785,1297680.0
2024-11-03,1406484,1304453.0
2024-11-04,1325387,1309404.0
2024-11-05,1286494,1310487.857142857
2024-11-06,1327574,1316032.5714285714
2024-11-07,1249266,1311286.142857143
2024-11-08,1343844,1316976.2857142857
2024-11-09,1395333,1333483.142857143
2024-11-10,1409594,1333927.4285714286
2024-11-11,1346798,1336986.142857143
2024-11-12,1349935,1346049.142857143
2024-11-13,1369364,1352019.142857143
2024-11-14,1418430,1376185.4285714286
2024-11-15,1429481,1388419.2857142857
2024-11-16,1490306,1401986.857142857
2024-11-17,1508761,1416153.5714285714
2024-11-18,1404536,1424401.857142857
2024-11-19,1382136,1429002.0
2024-11-20,1467418,1443009.7142857143
2024-11-21,1411595,1442033.2857142857
2024-11-22,1443038,1443970.0
2024-11-23,1525073,1448936.7142857143
2024-11-24,1503204,1448142.857142857
2024-11-25,1396001,1446923.5714285714
2024-11-26,1421019,1452478.2857142857
2024-11-27,1500453,1457197.5714285714
2024-11-28,1463260,1464578.2857142857
2024-11-29,1508609,1473945.5714285714
2024-11-30,1556938,1478497.7142857143
2024-12-01,1504816,1478728.0
2024-12-02,1365911,1474429.4285714286
2024-12-03,1401773,1471680.0
2024-12-04,1509212,1472931.2857142857
2024-12-05,1465785,1473292.0
2024-12-06,1441550,1463712.142857143
2024-12-07,1573901,1466135.4285714286
2024-12-08,1595114,1479035.142857143
2024-12-09,1459806,1492448.7142857143
2024-12-10,1460550,1500845.4285714286
2024-12-11,1523351,1502865.2857142857
2024-12-12,1465724,1502856.5714285714
2024-12-13,1516488,1513562.0
