date,avg_players,peak_players
2018-12-01,746548.0,1238319.325209671
2019-01-01,684511.0,1135416.8782430561
2019-02-01,654069.0,1084921.9108758771
2019-03-01,680071.0,1128052.130358217
2019-04-01,621614.0,1031087.926055504
2019-05-01,588453.0,976082.8799723615
2019-06-01,587724.0,974873.6679885669
2019-07-01,578933.0,960291.7989219856
2019-08-01,647461.0,1073961.0428526748
2019-09-01,720052.0,1194369.6945887927
2019-10-01,747937.0,1240623.2970141848
2019-11-01,758412.0,1257998.4623506016
2019-12-01,767060.0,1272343.1334560271
2020-01-01,817229.0,1355559.8083737069
2020-02-01,916996.0,1521046.0250914441
2020-03-01,1145972.0,1900854.6988930076
2020-04-01,1305714.0,2165823.0675011124
2020-05-01,1193359.0,1979456.7952936552
2020-06-01,1009467.0,1674430.1696092293
2020-07-01,857560.0,1422457.9270546641
2020-08-01,925348.0,1534899.7130045472
2020-09-01,977769.0,1621851.8411286813
2020-10-01,943876.0,1565632.606880741
2020-11-01,1037464.0,1720869.5494587435
2020-12-01,1164396.0,1931415.085161088
2021-01-01,1124553.0,1865326.4252566628
2021-02-01,1123485.0,1863554.9048194988
2021-03-01,1198581.0,1988118.6676933467
2021-04-01,1148077.0,1904346.3192303018
2021-05-01,1087197.0,1803363.019403948
2021-06-01,929940.0,1542516.5873935518
2021-07-01,763523.0,1266476.2160531722
2021-08-01,802544.0,1331201.4023627017
2021-09-01,942519.0,1563381.7143402619
2021-10-01,864966.0,1434742.459224736
2021-11-01,935593.0,1551893.3711307133
2021-12-01,950586.0,1576762.6650580543
2022-01-01,991625.0,1644835.162455783
2022-02-01,995163.0,1650703.7385856393
2022-03-01,987993.0,1638810.6659878246
2022-04-01,1013237.0,1680683.5704033382
2022-05-01,923996.0,1532657.1140990735
2022-06-01,906670.0,1503918.0100781897
2022-07-01,928329.0,1539844.3781947962
2022-08-01,1039889.0,1724891.9624363866
2022-09-01,1100366.0,1825206.795281301
2022-10-01,1078860.0,1789534.2123958615
